"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"03.02.2023","86,45","84,55","86,60","84,25","570,95K","2,67%"
"02.02.2023","84,20","83,85","86,20","79,45","1,19M","0,54%"
"01.02.2023","83,75","91,35","91,35","83,75","621,36K","-7,97%"
"31.01.2023","91,00","91,00","91,05","88,45","472,48K","-0,05%"
"30.01.2023","91,05","92,50","93,60","91,05","485,64K","-1,89%"
"27.01.2023","92,80","94,30","95,60","89,90","593,75K","-2,57%"
"26.01.2023","95,25","94,00","96,75","93,05","1,54M","1,33%"
"25.01.2023","94,00","97,50","98,70","91,90","518,72K","-3,39%"
"24.01.2023","97,30","98,75","99,40","94,50","734,55K","-2,11%"
"23.01.2023","99,40","100,00","103,00","97,10","896,45K","-0,10%"
"20.01.2023","99,50","97,20","100,40","97,20","941,50K","2,42%"
"19.01.2023","97,15","96,85","98,75","95,80","732,90K","0,31%"
"18.01.2023","96,85","96,05","98,15","95,70","768,89K","1,10%"
"17.01.2023","95,80","94,75","96,75","94,05","963,45K","1,27%"
"16.01.2023","94,60","91,05","94,90","91,05","1,01M","3,90%"
"13.01.2023","91,05","90,55","92,20","88,90","679,21K","0,50%"
"12.01.2023","90,60","91,40","92,45","85,65","1,54M","1,12%"
"11.01.2023","89,60","98,00","99,05","89,60","938,11K","-8,38%"
"10.01.2023","97,80","103,00","103,10","97,80","1,03M","-4,96%"
"09.01.2023","102,90","107,30","108,00","102,50","1,10M","-3,29%"
"06.01.2023","106,40","103,00","107,00","102,20","1,51M","3,20%"
"05.01.2023","103,10","112,40","113,20","103,10","1,56M","-7,53%"
"04.01.2023","111,50","109,20","114,40","106,90","1,91M","2,29%"
"03.01.2023","109,00","111,90","113,20","109,00","1,14M","-2,50%"
"02.01.2023","111,80","111,20","113,30","111,00","1,87M","1,27%"
"30.12.2022","110,40","110,00","112,40","108,40","914,85K","0,64%"
"29.12.2022","109,70","107,70","110,20","106,80","1,07M","1,86%"
"28.12.2022","107,70","112,50","116,80","104,90","2,88M","-4,10%"
"27.12.2022","112,30","108,70","113,50","106,90","2,14M","3,60%"
"26.12.2022","108,40","108,50","110,90","107,20","1,15M","1,78%"
"23.12.2022","106,50","109,40","110,70","105,40","1,55M","-2,47%"
"22.12.2022","109,20","111,30","112,90","108,30","1,02M","-1,71%"
"21.12.2022","111,10","113,80","115,70","111,10","1,71M","-1,68%"
"20.12.2022","113,00","114,00","115,00","112,40","1,24M","0,36%"
"19.12.2022","112,60","114,00","115,40","111,30","2,21M","1,17%"
"16.12.2022","111,30","105,40","111,30","104,60","2,17M","5,80%"
"15.12.2022","105,20","103,50","106,20","101,10","1,10M","2,63%"
"14.12.2022","102,50","108,00","109,80","102,50","1,62M","-4,38%"
"13.12.2022","107,20","104,30","108,80","104,30","2,62M","2,88%"
"12.12.2022","104,20","103,10","106,50","103,10","2,46M","1,66%"
"09.12.2022","102,50","100,70","104,30","100,70","1,01M","1,99%"
"08.12.2022","100,50","100,00","100,80","96,15","1,16M","0,50%"
"07.12.2022","100,00","104,90","106,20","99,55","1,50M","-4,31%"
"06.12.2022","104,50","102,90","106,90","101,80","1,68M","1,06%"
"05.12.2022","103,40","102,00","104,90","100,00","1,82M","2,38%"
"02.12.2022","101,00","105,00","106,00","99,75","1,77M","-3,53%"
"01.12.2022","104,70","108,20","109,30","103,50","2,09M","-2,15%"
"30.11.2022","107,00","102,20","108,20","100,70","3,18M","4,90%"
"29.11.2022","102,00","101,00","105,10","99,40","2,42M","1,49%"
"28.11.2022","100,50","106,00","106,60","100,50","3,00M","-3,09%"
"25.11.2022","103,70","97,00","104,50","97,00","3,60M","7,57%"
"24.11.2022","96,40","93,90","97,00","93,20","2,93M","4,22%"
"23.11.2022","92,50","92,80","94,10","90,90","1,71M","0,54%"
"22.11.2022","92,00","90,55","92,60","89,65","1,81M","1,66%"
