"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"03.02.2023","16,47","15,12","16,54","15,09","294,66M","9,36%"
"02.02.2023","15,06","15,57","16,01","14,35","447,08M","-3,15%"
"01.02.2023","15,55","17,21","17,30","15,55","296,33M","-8,42%"
"31.01.2023","16,98","17,03","17,50","16,68","276,18M","-0,29%"
"30.01.2023","17,03","16,71","17,37","16,68","269,24M","2,28%"
"27.01.2023","16,65","16,86","17,01","16,03","262,51M","-2,35%"
"26.01.2023","17,05","17,74","17,74","17,02","322,42M","-3,89%"
"25.01.2023","17,74","18,47","18,60","17,01","256,57M","-3,11%"
"24.01.2023","18,31","18,61","18,91","18,02","246,30M","-1,40%"
"23.01.2023","18,57","19,15","19,72","18,33","326,72M","-0,75%"
"20.01.2023","18,71","17,66","18,78","17,61","286,39M","6,37%"
"19.01.2023","17,59","17,31","17,85","17,20","206,90M","1,32%"
"18.01.2023","17,36","17,55","17,93","17,10","239,34M","-0,91%"
"17.01.2023","17,52","17,30","17,78","17,08","202,28M","1,45%"
"16.01.2023","17,27","16,83","17,31","16,82","208,49M","4,35%"
"13.01.2023","16,55","16,60","16,97","16,26","138,55M","-0,60%"
"12.01.2023","16,65","16,51","16,77","15,27","217,77M","3,42%"
"11.01.2023","16,10","17,06","17,40","16,10","188,46M","-5,46%"
"10.01.2023","17,03","17,90","18,25","17,01","183,19M","-4,38%"
"09.01.2023","17,81","18,90","18,93","17,50","164,02M","-4,76%"
"06.01.2023","18,70","18,10","19,11","17,52","196,88M","3,54%"
"05.01.2023","18,06","19,89","19,96","18,06","230,11M","-8,09%"
"04.01.2023","19,65","19,63","20,08","19,33","200,22M","0,36%"
"03.01.2023","19,58","20,20","20,26","19,54","167,14M","-2,20%"
"02.01.2023","20,02","19,70","20,26","19,67","146,71M","2,40%"
"30.12.2022","19,55","19,88","20,08","19,51","137,20M","-0,91%"
"29.12.2022","19,73","19,17","19,84","19,17","126,88M","3,14%"
"28.12.2022","19,13","19,65","19,73","18,79","144,81M","-2,55%"
"27.12.2022","19,63","20,00","20,20","19,56","138,33M","-1,46%"
"26.12.2022","19,92","20,02","20,30","19,84","122,52M","1,01%"
"23.12.2022","19,72","19,86","20,14","19,51","158,39M","-0,65%"
"22.12.2022","19,85","20,24","20,50","19,59","196,87M","-0,50%"
"21.12.2022","19,95","20,22","21,40","19,76","276,35M","-0,25%"
"20.12.2022","20,00","20,50","20,50","19,48","243,24M","-2,44%"
"19.12.2022","20,50","18,97","20,50","18,97","314,04M","9,92%"
"16.12.2022","18,65","18,66","19,33","18,55","279,54M","0,81%"
"15.12.2022","18,50","17,81","18,66","17,69","323,17M","7,00%"
"14.12.2022","17,29","17,54","18,27","16,90","364,86M","-0,97%"
"13.12.2022","17,46","17,35","17,78","17,14","254,50M","0,69%"
"12.12.2022","17,34","16,67","17,70","16,44","312,10M","4,02%"
"09.12.2022","16,67","16,25","16,70","16,11","167,75M","2,65%"
"08.12.2022","16,24","15,76","16,30","15,56","204,31M","3,11%"
"07.12.2022","15,75","16,26","16,44","15,58","221,10M","-2,96%"
"06.12.2022","16,23","16,36","16,59","16,09","271,90M","-0,31%"
"05.12.2022","16,28","16,95","17,02","16,27","203,22M","-3,44%"
"02.12.2022","16,86","17,44","17,49","16,65","132,82M","-3,27%"
"01.12.2022","17,43","17,65","17,70","17,14","180,88M","0,69%"
"30.11.2022","17,31","17,70","17,88","17,31","211,31M","-1,98%"
"29.11.2022","17,66","17,59","17,75","17,15","171,37M","0,97%"
"28.11.2022","17,49","16,93","17,70","16,88","189,92M","3,98%"
"25.11.2022","16,82","17,00","17,27","16,80","150,98M","-2,21%"
"24.11.2022","17,20","17,75","17,87","17,05","282,86M","-2,44%"
"23.11.2022","17,63","17,01","17,78","16,81","265,04M","3,89%"
"22.11.2022","16,97","16,75","17,07","16,38","250,61M","2,66%"
"21.11.2022","16,53","16,40","16,56","15,96","183,44M","1,72%"
"18.11.2022","16,25","15,65","16,38","15,64","185,62M","4,50%"
"17.11.2022","15,55","16,78","16,89","15,55","235,71M","-6,72%"
"16.11.2022","16,67","16,25","17,49","15,96","407,93M","2,96%"
"15.11.2022","16,19","15,40","16,20","15,13","344,70M","6,30%"
"14.11.2022","15,23","15,04","15,23","14,90","164,02M","1,67%"
"11.11.2022","14,98","15,80","15,89","14,89","149,97M","-2,92%"
"10.11.2022","15,43","14,95","15,53","14,94","188,68M","3,63%"
"09.11.2022","14,89","15,24","15,38","14,85","169,19M","-2,10%"
"08.11.2022","15,21","15,29","15,59","14,98","201,99M","-0,20%"
"07.11.2022","15,24","14,77","15,32","14,76","192,68M","4,60%"
"04.11.2022","14,57","14,32","14,70","14,15","174,75M","2,68%"
"03.11.2022","14,19","14,42","14,57","14,14","132,03M","-1,80%"
"02.11.2022","14,45","14,58","14,72","14,39","156,59M","-0,69%"
"01.11.2022","14,55","14,76","15,21","14,49","211,68M","-0,48%"
"31.10.2022","14,62","14,79","14,83","14,20","239,42M","-0,41%"
"28.10.2022","14,68","15,22","15,32","14,65","121,30M","-3,61%"
"27.10.2022","15,23","15,70","15,74","15,17","239,92M","-3,49%"
"26.10.2022","15,78","15,68","15,94","15,62","225,60M","1,68%"
"25.10.2022","15,52","15,56","15,89","15,41","227,50M","0,39%"
"24.10.2022","15,46","15,71","15,97","15,27","156,27M","-0,58%"
"21.10.2022","15,55","15,78","15,90","15,52","157,79M","-1,27%"
"20.10.2022","15,75","15,69","16,15","15,51","332,87M","0,25%"
"19.10.2022","15,71","15,22","15,90","14,94","372,72M","4,11%"
"18.10.2022","15,09","15,91","15,95","14,79","332,30M","1,62%"
"17.10.2022","14,85","13,60","14,85","13,60","106,20M","10,00%"
"14.10.2022","13,50","13,40","13,63","13,31","208,45M","3,77%"
"13.10.2022","13,01","12,94","13,08","12,82","200,45M","0,62%"
"12.10.2022","12,93","13,06","13,12","12,82","166,62M","-1,00%"
"11.10.2022","13,06","12,86","13,23","12,74","244,32M","2,11%"
"10.10.2022","12,79","12,89","13,04","12,73","131,20M","-0,54%"
"07.10.2022","12,86","12,90","13,05","12,67","162,79M","-0,31%"
"06.10.2022","12,90","12,54","12,91","12,45","198,54M","4,28%"
"05.10.2022","12,37","12,50","12,52","12,04","182,10M","-0,08%"
"04.10.2022","12,38","12,85","13,13","12,35","313,10M","-0,24%"
"03.10.2022","12,41","11,35","12,41","11,29","174,17M","9,92%"
"30.09.2022","11,29","11,28","11,54","11,09","140,48M","0,27%"
"29.09.2022","11,26","11,53","11,73","10,96","173,04M","-1,40%"
"28.09.2022","11,42","11,74","12,05","11,42","194,45M","-3,38%"
"27.09.2022","11,82","11,42","12,34","11,32","216,36M","4,14%"
"26.09.2022","11,35","11,20","11,36","10,73","167,71M","0,62%"
"23.09.2022","11,28","11,62","11,73","11,25","130,62M","-2,93%"
"22.09.2022","11,62","11,60","11,99","11,37","223,34M","0,87%"
"21.09.2022","11,52","11,82","12,08","11,52","173,24M","-3,03%"
"20.09.2022","11,88","11,40","11,88","10,95","286,85M","7,41%"
"19.09.2022","11,06","12,26","12,32","11,06","386,56M","-9,27%"
"16.09.2022","12,19","12,02","12,56","11,72","619,92M","-4,62%"
"15.09.2022","12,78","14,25","14,72","12,78","245,85M","-9,94%"
"14.09.2022","14,19","15,55","15,63","14,19","238,22M","-9,96%"
"13.09.2022","15,76","17,95","19,14","15,76","794,92M","-9,99%"
"12.09.2022","17,51","16,46","17,51","16,00","700,11M","9,99%"
"09.09.2022","15,92","15,25","16,28","15,09","988,52M","5,08%"
"08.09.2022","15,15","16,10","16,23","15,04","932,83M","-3,44%"
"07.09.2022","15,69","15,57","16,06","14,87","516,40M","0,77%"
"06.09.2022","15,57","14,50","15,60","14,30","512,31M","9,73%"
"05.09.2022","14,19","13,50","14,33","13,02","499,67M","8,90%"
"02.09.2022","13,03","12,10","13,03","11,91","434,41M","9,96%"
"01.09.2022","11,85","11,74","12,25","11,50","440,17M","1,11%"
"31.08.2022","11,72","11,91","12,20","11,65","304,10M","-1,43%"
"29.08.2022","11,89","12,03","12,23","11,64","251,88M","-0,75%"
"26.08.2022","11,98","12,01","12,80","11,89","700,50M","0,00%"
"25.08.2022","11,98","11,18","12,16","11,07","454,49M","8,22%"
"24.08.2022","11,07","11,55","11,68","11,03","331,12M","-3,57%"
"23.08.2022","11,48","10,82","11,60","10,75","497,49M","6,69%"
"22.08.2022","10,76","10,50","10,89","10,33","318,68M","1,51%"
"19.08.2022","10,60","11,05","11,16","10,55","236,47M","-3,99%"
"18.08.2022","11,04","11,28","11,60","10,79","381,00M","-2,39%"
"17.08.2022","11,31","10,66","11,38","10,50","481,70M","6,90%"
"16.08.2022","10,58","10,32","10,65","9,87","273,80M","3,52%"
"15.08.2022","10,22","10,11","10,33","9,96","183,48M","2,20%"
"12.08.2022","10,00","10,08","10,39","9,89","244,90M","-0,70%"
"11.08.2022","10,07","9,90","10,21","9,83","339,96M","2,76%"
"10.08.2022","9,80","9,49","9,85","9,46","226,53M","3,38%"
"09.08.2022","9,48","9,28","9,56","9,19","165,14M","2,16%"
"08.08.2022","9,28","9,42","9,47","9,18","172,76M","-0,96%"
"05.08.2022","9,37","9,13","9,62","9,07","277,63M","2,85%"
"04.08.2022","9,11","8,97","9,12","8,95","141,22M","2,47%"
"03.08.2022","8,89","8,82","8,91","8,71","98,27M","1,14%"
"02.08.2022","8,79","8,85","8,92","8,77","106,38M","-0,68%"
"01.08.2022","8,85","8,64","8,89","8,63","122,76M","2,55%"
"29.07.2022","8,63","8,53","8,66","8,43","134,15M","1,41%"
"28.07.2022","8,51","8,86","8,88","8,48","159,10M","-3,62%"
"27.07.2022","8,83","8,80","8,87","8,69","90,09M","1,38%"
"26.07.2022","8,71","9,00","9,04","8,65","120,64M","-2,68%"
"25.07.2022","8,95","8,64","9,01","8,64","117,58M","3,59%"
"22.07.2022","8,64","8,62","8,71","8,59","59,79M","0,70%"
"21.07.2022","8,58","8,58","8,67","8,48","85,80M","0,23%"
"20.07.2022","8,56","8,54","8,57","8,40","109,73M","0,71%"
"19.07.2022","8,50","8,24","8,54","8,18","106,35M","2,78%"
"18.07.2022","8,27","8,03","8,29","8,03","87,72M","4,55%"
"14.07.2022","7,91","7,95","8,01","7,82","64,27M","-0,63%"
"13.07.2022","7,96","8,11","8,11","7,86","61,91M","-1,61%"
"08.07.2022","8,09","8,07","8,12","8,03","19,93M","0,37%"
"07.07.2022","8,06","7,95","8,15","7,93","83,90M","1,90%"
"06.07.2022","7,91","7,88","7,93","7,74","95,05M","1,41%"
"05.07.2022","7,80","7,96","8,09","7,78","89,70M","-1,89%"
"04.07.2022","7,95","8,23","8,26","7,92","57,74M","-2,57%"
"01.07.2022","8,16","8,02","8,24","7,98","71,06M","1,75%"
"30.06.2022","8,02","7,93","8,13","7,92","119,27M","0,00%"
"29.06.2022","8,02","8,30","8,38","8,02","145,54M","-3,49%"
"28.06.2022","8,31","8,55","8,63","8,27","143,78M","-2,35%"
"27.06.2022","8,51","8,59","8,62","8,46","115,97M","-2,96%"
"24.06.2022","8,77","8,87","8,90","8,69","101,21M","-0,57%"
"23.06.2022","8,82","9,08","9,14","8,78","146,85M","-2,97%"
"22.06.2022","9,09","9,08","9,22","9,01","141,67M","-0,44%"
"21.06.2022","9,13","9,09","9,30","9,08","149,86M","0,88%"
"20.06.2022","9,05","9,08","9,11","8,89","125,58M","-0,55%"
"17.06.2022","9,10","8,46","9,10","8,46","224,35M","7,44%"
"16.06.2022","8,47","8,66","8,70","8,41","99,75M","-2,19%"
"15.06.2022","8,66","8,43","8,69","8,35","131,20M","2,73%"
"14.06.2022","8,43","8,55","8,57","8,37","90,85M","-0,59%"
"13.06.2022","8,48","8,48","8,69","8,46","122,00M","-0,47%"
"10.06.2022","8,52","8,25","8,73","8,24","216,88M","1,79%"
"09.06.2022","8,37","8,25","8,40","8,18","126,51M","1,21%"
"08.06.2022","8,27","8,91","8,95","8,27","189,77M","-6,76%"
"07.06.2022","8,87","9,08","9,08","8,81","151,53M","-2,53%"
"06.06.2022","9,10","8,80","9,13","8,79","459,84M","3,88%"
"03.06.2022","8,76","8,83","8,84","8,64","161,87M","-0,79%"
"02.06.2022","8,83","8,48","8,85","8,46","317,24M","4,37%"
"01.06.2022","8,46","8,38","8,56","8,37","188,82M","1,20%"
"31.05.2022","8,36","8,25","8,38","8,23","185,46M","1,58%"
"30.05.2022","8,23","8,11","8,31","8,11","161,82M","2,11%"
"27.05.2022","8,06","8,19","8,23","8,03","160,00M","-1,59%"
"26.05.2022","8,19","8,19","8,25","8,11","111,53M","0,24%"
"25.05.2022","8,17","8,08","8,22","7,94","153,30M","1,36%"
"24.05.2022","8,06","8,20","8,21","8,04","106,45M","-1,23%"
"23.05.2022","8,16","8,09","8,17","7,98","151,70M","1,49%"
"20.05.2022","8,04","8,06","8,25","8,01","207,45M","-0,86%"
"18.05.2022","8,11","7,84","8,20","7,79","192,72M","3,31%"
"17.05.2022","7,85","8,00","8,01","7,78","170,80M","-1,51%"
"16.05.2022","7,97","8,25","8,25","7,95","110,33M","-3,39%"
"13.05.2022","8,25","8,32","8,34","8,21","90,39M","-0,24%"
"12.05.2022","8,27","8,41","8,44","8,10","167,85M","-2,36%"
"11.05.2022","8,47","8,68","8,69","8,37","125,77M","-2,19%"
"10.05.2022","8,66","8,70","8,75","8,64","165,87M","0,00%"
"09.05.2022","8,66","8,71","8,72","8,55","168,75M","-0,69%"
"06.05.2022","8,72","8,70","8,83","8,65","184,86M","-0,68%"
"05.05.2022","8,78","9,04","9,08","8,78","178,22M","-1,57%"
"29.04.2022","8,92","9,01","9,09","8,80","170,67M","-0,56%"
"28.04.2022","8,97","9,23","9,29","8,96","189,64M","-1,97%"
